_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Athletic Club v Celta Vigo,1,2.3999999999999986,9,4,-49,0,-30,-33,-2,4,-13,-27,4,-4,3,-3,8,6,0,8,4,0,-2,0,4,-33,-37,4,-1,0,1,-2,-1,-3,1
Athletic Club v Cordoba,2,-0.5,0,-1,105,-6,102,65,46,79,42,-11,4,-4,-5,5,2,1,0,12,5,0,-2,0,121,93,-28,-7,0,0,2,-1,-6,-3,-1
Athletic Club v Deportivo,1,-1.3000000000000007,3,2,67,-4,57,41,35,19,39,17,1,-1,2,-2,2,4,1,4,5,0,1,0,15,56,41,-6,1,0,-3,-1,0,2,1
Athletic Club v Eibar,1,-0.40000000000000213,-2,-3,176,-2,176,98,85,72,106,6,1,-1,4,-4,-2,0,0,10,1,0,-1,0,136,186,50,3,-1,0,-3,-2,-2,1,0
Athletic Club v Elche,2,1.0,4,1,41,-19,42,28,22,40,8,0,3,-3,0,0,3,3,-1,12,4,0,-2,0,63,38,-25,-2,0,0,-1,-1,4,0,-1
Athletic Club v Espanyol,0,0.5,0,-1,55,-2,63,16,55,7,58,7,3,-3,-3,3,2,3,2,12,3,0,1,0,31,78,47,3,0,0,6,5,-1,-1,2
Athletic Club v Getafe,0,0.9000000000000021,10,5,122,-10,130,60,79,48,70,21,2,-2,2,-2,8,7,0,8,4,0,1,0,98,125,27,0,-1,-1,-2,-7,-1,-5,1
Athletic Club v Granada,2,0.8999999999999986,1,2,125,-12,130,67,51,33,75,9,-4,4,6,-6,2,0,0,1,-1,0,-1,0,124,136,12,2,1,0,12,8,-8,-4,-1
Athletic Club v Levante,0,-1.3000000000000007,0,-1,90,-7,93,44,43,-8,47,48,-3,3,5,-5,0,1,1,-2,3,0,1,0,9,93,84,-8,-2,0,4,4,-5,0,1
Athletic Club v Malaga,1,0.0,1,0,0,13,-8,4,18,54,-18,-14,3,-3,1,-1,2,2,0,19,8,0,1,0,60,-8,-68,1,-1,0,-13,-7,9,6,0
Athletic Club v Rayo Vallecano,0,-0.09999999999999787,5,5,7,4,-5,-5,14,18,11,-21,1,-1,-4,4,6,5,0,8,5,0,0,0,62,11,-51,5,0,0,0,0,0,0,0
Athletic Club v Real Madrid,0,0.5,-1,-1,-127,1,-125,-77,-58,-26,-93,-16,-2,2,-2,2,-1,-2,1,-7,-2,0,0,0,-65,-123,-58,5,0,0,-2,0,-3,2,1
Athletic Club v Real Sociedad,1,0.40000000000000213,-3,-1,12,8,19,4,12,-3,29,-8,1,-1,-1,1,-3,-1,0,7,1,0,2,0,11,15,4,2,1,0,-7,-6,4,1,0
Athletic Club v Sevilla,0,0.8999999999999986,5,1,-3,8,-6,-3,-4,28,-20,-16,-2,2,-3,3,2,0,1,3,0,0,-1,0,38,-6,-44,-1,1,0,3,-2,-4,-5,1
Athletic Club v Valencia,1,2.8000000000000007,0,-2,-15,-12,-14,10,-14,12,-10,-6,4,-4,2,-2,1,1,0,8,3,0,0,0,4,-22,-26,-4,1,0,-6,-8,1,-2,0
Athletic Club v Villarreal,0,2.6000000000000014,1,-4,25,-1,31,11,12,20,18,-14,-3,3,-1,1,0,1,1,1,-1,0,2,0,35,39,4,4,-1,0,-8,-5,7,3,3
Atletico v Almeria,0,2.0,2,0,80,2,76,52,27,39,25,17,0,0,2,-2,2,1,2,6,4,0,0,0,34,74,40,-1,-1,0,8,8,-8,0,3
Atletico v Athletic Club,1,1.3000000000000007,2,3,-16,-6,-10,7,-5,40,-27,-13,3,-3,4,-4,1,2,0,6,4,0,4,0,7,-25,-32,-1,1,0,-3,-5,-4,-2,0
Atletico v Barcelona,2,-0.3000000000000007,-5,-4,-299,1,-301,-165,-137,-33,-194,-81,2,-2,-5,5,-6,-1,0,-2,-1,0,1,0,-165,-295,-130,9,0,0,16,9,-11,-7,0
Atletico v Celta Vigo,1,1.5,8,2,-124,-16,-120,-58,-44,22,-123,-6,3,-3,1,-1,8,6,1,20,8,0,3,0,-24,-106,-82,-6,-2,0,3,9,0,6,1
Atletico v Cordoba,0,0.0,5,3,151,-13,160,109,59,111,51,6,0,0,1,-1,4,1,0,12,3,0,0,0,160,139,-21,-10,-1,0,3,0,6,-3,1
Atletico v Deportivo,0,-0.3000000000000007,0,-1,18,-18,23,26,11,56,-1,-12,3,-3,6,-6,2,2,1,15,6,0,0,0,58,9,-49,-5,0,0,2,-3,-2,-5,1
Atletico v Eibar,0,-0.6999999999999993,1,-1,-30,-5,-33,-1,-17,37,-29,-26,3,-3,-1,1,0,0,1,12,3,0,1,0,42,-40,-82,-4,0,0,4,3,-2,-1,1
Atletico v Elche,0,1.4000000000000021,8,6,98,-18,112,75,46,51,70,-2,3,-3,6,-6,10,11,0,16,10,0,1,0,106,105,-1,6,0,0,4,3,-5,-1,0
Atletico v Espanyol,0,1.2000000000000028,10,5,138,-22,139,101,58,76,74,13,8,-8,2,-2,8,8,1,19,7,0,4,0,132,136,4,0,0,0,9,2,-12,-7,1
Atletico v Getafe,0,1.0,7,2,78,7,56,49,48,79,20,-1,5,-5,6,-6,5,4,2,9,5,0,0,0,66,55,-11,-6,-1,0,1,-5,-8,-6,2
Atletico v Granada,0,0.8000000000000007,0,0,35,2,40,24,31,65,-8,0,-2,2,-4,4,1,1,0,12,4,0,2,0,54,40,-14,4,0,0,11,9,-10,-2,1
Atletico v Levante,0,-2.099999999999998,2,-1,181,-12,189,101,89,77,78,36,2,-2,6,-6,2,2,0,12,4,0,5,0,128,199,71,-4,-1,0,7,5,-2,-2,1
Atletico v Malaga,0,-0.1999999999999993,5,1,12,-8,12,27,2,30,-14,12,1,-1,-6,6,4,3,2,6,4,0,-3,0,22,26,4,2,0,0,-2,1,5,3,2
Atletico v Rayo Vallecano,0,0.40000000000000213,2,0,-126,-6,-130,-66,-70,-11,-98,-26,3,-3,-3,3,0,3,1,-4,1,0,1,0,-53,-123,-70,3,0,0,-1,-3,-2,-2,1
Atletico v Real Madrid,0,1.9000000000000021,4,2,-45,-11,-46,-12,-26,25,-56,-8,2,-2,-4,4,3,3,2,3,1,0,2,0,-9,-49,-40,3,0,0,6,2,-9,-4,2
Atletico v Real Sociedad,0,-0.3000000000000007,-1,0,-5,-15,6,-5,-8,-12,-2,1,-3,3,2,-2,-2,-1,0,-3,2,0,0,0,-8,3,11,2,0,0,-3,-6,-1,-3,0
Atletico v Sevilla,0,1.1000000000000014,5,2,20,-13,20,27,10,15,16,4,3,-3,-1,1,3,3,1,13,6,0,0,0,14,20,6,-3,-1,0,-3,-3,5,0,2
Atletico v Valencia,1,2.8000000000000007,2,1,-26,-16,-31,7,-14,63,-42,-28,4,-4,0,0,0,0,1,8,0,0,2,0,52,-19,-71,0,-2,0,-6,-1,4,5,1
Atletico v Villarreal,2,2.400000000000002,4,1,31,-2,35,7,33,62,-11,-11,3,-3,0,0,4,3,0,13,3,0,0,0,39,35,-4,-1,1,0,-9,-10,-1,-1,0
Barcelona v Almeria,0,1.8000000000000007,4,0,150,1,162,95,75,121,57,-9,4,-4,-2,2,4,4,0,16,1,0,-1,0,181,156,-25,0,1,0,-2,2,3,4,1
Barcelona v Athletic Club,0,-0.6000000000000014,5,3,173,5,180,84,93,66,91,20,1,-1,-1,1,5,4,0,6,2,0,1,0,152,180,28,-3,-1,0,-6,-2,10,4,0
Barcelona v Atletico,0,-1.0,10,4,174,-8,185,98,81,44,115,20,1,-1,-1,1,6,5,1,4,1,0,-1,0,124,198,74,-6,-2,0,-6,3,11,9,2
Barcelona v Celta Vigo,2,2.0,3,3,119,6,112,56,75,39,77,17,0,0,11,-11,2,2,0,7,3,0,1,0,96,135,39,-4,-1,0,-10,-1,11,9,0
Barcelona v Cordoba,0,0.8999999999999986,5,2,281,-1,274,144,150,147,143,7,6,-6,-4,4,4,3,1,15,3,0,-1,0,285,283,-2,-5,0,0,-4,0,10,4,1
Barcelona v Deportivo,1,0.10000000000000142,10,5,361,7,356,198,159,151,202,7,-1,1,4,-4,4,2,1,0,1,0,0,0,356,367,11,0,0,0,-5,2,6,7,1
Barcelona v Eibar,0,-0.5999999999999979,7,3,303,-1,305,190,133,140,144,39,4,-4,1,-1,6,3,0,20,5,0,-1,0,265,304,39,-13,0,0,-14,-8,16,6,0
Barcelona v Elche,0,-0.9000000000000021,2,1,341,0,343,191,154,139,206,5,3,-3,-1,1,5,2,0,8,1,0,2,0,323,339,16,0,0,1,-9,-7,7,2,1
Barcelona v Espanyol,0,0.9000000000000021,3,2,337,-1,332,181,159,168,162,18,3,-3,3,-3,5,3,0,5,2,0,3,0,305,336,31,-4,-1,0,-9,-4,7,5,0
Barcelona v Getafe,0,1.6000000000000014,10,0,327,7,322,183,145,150,171,8,0,0,1,-1,8,5,3,0,1,0,-1,0,286,322,36,-9,0,0,3,8,6,5,5
Barcelona v Granada,0,0.10000000000000142,3,0,238,13,224,136,124,165,100,-2,7,-7,-2,2,0,1,1,19,2,0,0,0,269,235,-34,-2,-1,0,5,4,-4,-1,3
Barcelona v Levante,0,-1.1000000000000014,7,2,258,6,266,144,110,86,158,13,-3,3,7,-7,5,3,2,1,2,0,0,0,221,260,39,-6,0,0,1,5,4,4,2
Barcelona v Malaga,2,0.7999999999999972,0,1,185,3,199,114,100,125,61,28,5,-5,-1,1,1,2,0,21,3,0,0,0,195,191,-4,4,1,0,-1,0,6,1,-1
Barcelona v Rayo Vallecano,0,0.8000000000000007,1,0,60,9,46,30,36,8,34,26,-1,1,-2,2,4,3,0,-5,-1,0,0,0,-7,52,59,-2,0,0,-1,0,6,1,1
Barcelona v Real Madrid,0,1.1999999999999993,-1,-1,51,-4,44,31,22,-13,45,19,-2,2,5,-5,-4,-1,0,0,-1,0,0,0,14,36,22,-2,-1,0,12,5,-8,-7,0
Barcelona v Real Sociedad,0,0.8000000000000007,5,3,173,8,172,98,79,42,102,34,2,-2,7,-7,4,4,0,10,4,0,0,0,119,185,66,5,-3,0,-6,-2,4,4,0
Barcelona v Sevilla,0,0.6000000000000014,6,5,223,7,232,118,113,104,140,-11,2,-2,11,-11,4,3,0,5,0,0,0,0,222,224,2,-3,-1,0,-5,-5,7,0,1
Barcelona v Valencia,0,3.1999999999999993,-3,-4,162,-1,151,73,76,0,105,45,0,0,0,0,-1,0,1,-8,0,0,-2,0,36,160,124,-4,-1,0,4,5,0,1,1
Barcelona v Villarreal,0,1.9000000000000021,7,3,191,-13,204,107,98,121,98,-13,5,-5,8,-8,6,4,0,10,2,0,3,0,235,201,-34,-4,-2,0,-13,-6,14,7,0
Celta Vigo v Almeria,2,0.5,6,4,163,-4,166,100,84,61,97,27,7,-7,5,-5,3,2,0,14,2,0,2,0,123,162,39,-4,0,0,4,2,-4,-2,-1
Celta Vigo v Athletic Club,2,0.40000000000000213,0,-1,87,-1,93,35,49,-10,75,21,-1,1,-1,1,0,-1,0,0,1,0,2,0,16,90,74,4,0,0,-9,-9,0,0,-2
Celta Vigo v Atletico,0,-2.1999999999999993,5,3,321,19,328,160,171,106,208,19,5,-5,6,-6,3,2,0,12,2,0,0,0,267,326,59,-5,0,0,-10,-6,9,4,0
Celta Vigo v Barcelona,2,-1.7999999999999972,0,-1,-107,4,-110,-54,-47,33,-93,-43,2,-2,-4,4,2,2,0,3,2,0,3,0,-11,-96,-85,7,0,0,-12,-11,5,1,0
Celta Vigo v Cordoba,0,-0.1999999999999993,12,7,214,-9,223,127,110,98,123,17,4,-4,2,-2,10,7,0,9,1,0,1,0,192,214,22,-2,1,0,-8,-1,8,7,0
Celta Vigo v Deportivo,0,-2.5,4,0,34,7,25,10,16,10,16,1,1,-1,3,-3,4,1,0,1,0,0,1,0,23,37,14,5,1,0,5,5,-7,0,1
Celta Vigo v Eibar,2,-2.700000000000003,5,4,191,-1,193,121,81,66,104,32,2,-2,3,-3,4,3,-1,9,0,0,1,0,129,197,68,-3,0,0,-5,-2,2,3,-1
Celta Vigo v Elche,1,-1.1000000000000014,-1,1,33,-2,41,5,25,-29,32,28,0,0,-3,3,0,1,0,-1,1,0,0,0,-5,36,41,-8,1,0,8,7,-7,-1,0
Celta Vigo v Espanyol,0,-2.0,-3,2,67,-4,65,25,52,-5,61,17,0,0,1,-1,-2,0,0,-5,0,0,3,0,17,50,33,-16,2,1,-16,-10,16,6,0
Celta Vigo v Getafe,0,-1.6999999999999993,3,5,57,4,60,37,24,22,34,6,1,-1,-8,8,1,0,0,2,1,0,1,0,39,45,6,-1,2,0,7,2,-6,-5,1
Celta Vigo v Granada,1,-0.5999999999999979,4,2,117,1,113,69,40,23,63,25,1,-1,-1,1,2,2,0,-1,1,0,2,0,44,118,74,0,-1,0,7,8,-3,1,0
Celta Vigo v Levante,0,-3.5,7,1,252,-10,261,145,119,50,181,35,5,-5,0,0,6,4,1,10,5,0,1,0,181,272,91,-5,0,0,-9,-8,4,1,1
Celta Vigo v Malaga,0,-2.200000000000003,5,1,236,-4,232,132,111,87,122,35,0,0,4,-4,4,3,0,4,2,0,-1,0,175,245,70,1,-1,0,-13,-7,10,6,0
Celta Vigo v Rayo Vallecano,0,-2.6999999999999993,4,1,23,4,23,5,20,40,-22,6,0,0,-6,6,3,1,2,-2,-1,0,2,0,53,18,-35,1,0,0,-9,-6,5,3,3
Celta Vigo v Real Madrid,2,-0.6999999999999993,6,4,-49,-9,-46,-29,-23,-14,-37,-4,-1,1,-5,5,5,0,-2,-5,1,0,-1,0,-26,-35,-9,-1,0,0,-1,1,0,2,-1
Celta Vigo v Real Sociedad,1,-1.1999999999999993,2,-1,81,-5,84,62,24,29,52,8,-1,1,6,-6,-1,1,1,4,2,0,1,0,39,72,33,2,-2,0,4,-2,-6,-6,1
Celta Vigo v Sevilla,1,-2.3999999999999986,2,-1,152,3,167,78,86,43,121,1,2,-2,2,-2,1,-1,-1,15,1,0,0,0,120,165,45,6,-1,0,-2,-1,4,1,-1
Celta Vigo v Valencia,1,-0.10000000000000142,4,2,108,0,107,61,66,43,62,21,6,-6,3,-3,3,2,0,12,0,0,-1,0,92,101,9,-5,1,0,0,-1,-5,-1,-1
Celta Vigo v Villarreal,2,0.3000000000000007,2,3,111,18,116,53,64,52,69,-5,0,0,7,-7,1,-1,-1,6,1,0,1,0,95,101,6,0,0,0,-2,0,4,2,-1
Cordoba v Almeria,2,0.8000000000000007,3,2,9,-7,17,7,7,8,-2,8,0,0,-2,2,3,1,0,1,2,0,1,0,-2,16,18,0,1,0,-3,-3,1,0,1
Cordoba v Athletic Club,2,-1.0,4,0,-54,5,-45,-40,-16,-6,-51,3,-1,1,4,-4,4,2,0,-4,0,0,-2,0,-44,-52,-8,5,-1,0,-1,-1,3,0,0
Cordoba v Atletico,2,-0.3999999999999986,-4,0,99,-3,97,68,39,22,47,38,-1,1,-3,3,-3,-5,-1,5,-2,0,0,0,57,104,47,-4,1,0,-18,-13,16,5,-2
Cordoba v Barcelona,2,-1.5999999999999979,-11,-7,-258,3,-261,-149,-116,-123,-148,5,-5,5,-3,3,-9,-6,-2,-9,-4,0,2,0,-278,-253,25,7,1,0,6,4,-6,-2,-2
Cordoba v Celta Vigo,1,0.7000000000000028,-3,-4,-155,-6,-148,-88,-78,-63,-79,-24,-4,4,3,-3,-2,-2,0,1,-2,0,-3,0,-113,-151,-38,4,-2,0,13,6,-17,-7,0
Cordoba v Deportivo,1,0.5,-2,0,78,-4,84,48,25,8,51,14,-1,1,-2,2,-2,-3,0,0,-3,0,0,0,67,84,17,7,2,0,-3,-3,2,0,0
Cordoba v Eibar,1,-3.3000000000000007,4,1,54,3,48,38,21,20,26,13,-2,2,-3,3,1,0,1,1,0,0,0,0,52,68,16,1,0,0,-2,3,5,5,1
Cordoba v Elche,2,-1.7000000000000028,3,-1,16,-3,20,23,5,39,-11,1,2,-2,7,-7,4,3,0,13,4,0,-1,0,62,27,-35,2,0,0,-3,-2,1,1,-1
Cordoba v Espanyol,1,-0.1999999999999993,4,0,31,-8,36,23,8,-17,26,21,-3,3,5,-5,5,2,0,3,2,0,-1,0,-6,39,45,3,-1,0,0,2,2,2,0
Cordoba v Getafe,2,-1.0999999999999979,1,-3,98,-3,103,53,49,5,71,25,-1,1,0,0,3,4,0,8,2,0,-2,0,51,115,64,4,1,0,-6,-2,3,4,0
Cordoba v Granada,0,-1.5999999999999979,-2,0,-45,6,-39,-46,-22,-3,-65,-1,-3,3,2,-2,0,1,2,-7,0,0,-1,0,-53,-43,10,-5,1,0,9,4,-5,-5,2
Cordoba v Levante,1,-1.5,1,-1,116,2,118,74,52,5,73,50,4,-4,3,-3,2,0,0,7,0,0,1,0,48,125,77,-9,-1,0,2,1,1,-1,0
Cordoba v Malaga,2,-0.20000000000000284,-6,-2,99,7,99,66,41,12,56,39,-4,4,0,0,-4,-2,-1,-1,-3,0,-2,0,61,107,46,1,0,0,-3,0,12,3,-2
Cordoba v Rayo Vallecano,2,-1.8999999999999986,-3,-3,-63,-2,-66,-32,-29,-13,-38,-9,-1,1,6,-6,0,0,0,-2,-1,0,2,0,-6,-54,-48,7,0,0,-8,-5,6,3,-1
Cordoba v Real Madrid,2,-0.3999999999999986,2,2,-127,-1,-116,-91,-40,-40,-67,-25,-5,5,0,0,1,-2,-1,-7,-5,0,-1,0,-57,-126,-69,2,-1,0,7,7,-5,0,0
Cordoba v Real Sociedad,1,0.7000000000000028,-2,2,52,-6,64,29,20,13,25,11,1,-1,3,-3,-1,-2,-1,1,0,0,1,0,49,48,-1,7,0,0,-7,-7,-4,0,-1
Cordoba v Sevilla,2,0.1999999999999993,1,-1,108,-3,106,77,38,36,55,25,2,-2,9,-9,-2,-3,-1,6,1,0,-1,0,58,107,49,-4,2,0,-6,-5,6,1,-1
Cordoba v Valencia,2,1.5999999999999979,2,1,-39,8,-30,-43,-7,-23,-15,-12,1,-1,-1,1,1,-1,-1,-1,0,0,-1,0,-48,-30,18,5,0,0,0,1,4,1,-1
Cordoba v Villarreal,2,1.5999999999999979,2,2,-2,-12,-14,13,-1,26,-15,-1,-1,1,6,-6,1,0,-1,2,1,0,2,0,7,-19,-26,-5,0,0,7,7,2,0,-1
Deportivo v Almeria,2,2.299999999999997,-2,-1,95,0,101,53,50,31,38,35,2,-2,3,-3,0,4,0,9,-1,0,1,0,47,97,50,-5,-1,0,-7,-5,8,2,0
Deportivo v Athletic Club,0,2.0,1,0,-12,-1,-11,-12,-11,-3,-13,-6,0,0,1,-1,4,2,1,-5,-1,0,-1,0,-15,-12,3,-1,0,0,5,6,5,1,1
Deportivo v Atletico,2,0.5,-4,1,4,16,-3,-17,17,9,-33,25,-2,2,3,-3,-2,-1,-1,-5,-1,0,-1,0,-20,-14,6,1,-3,-1,2,-2,-5,-4,-2
Deportivo v Barcelona,2,0.3999999999999986,-2,0,-278,3,-270,-162,-124,-104,-155,-29,-2,2,-1,1,-4,-3,-1,-1,1,0,-1,0,-191,-270,-79,8,0,0,-2,-3,-10,-1,-2
Deportivo v Celta Vigo,2,1.5,1,1,-100,-10,-97,-47,-47,1,-66,-28,1,-1,-1,1,-1,1,0,11,1,0,-2,0,-13,-100,-87,-6,1,0,5,6,1,1,0
Deportivo v Cordoba,1,2.1999999999999993,2,3,4,5,-7,5,3,29,-1,-18,3,-3,1,-1,1,-1,0,0,0,0,0,0,27,-6,-33,4,0,0,8,10,-4,2,0
Deportivo v Eibar,0,-1.8000000000000007,8,5,109,-13,113,80,49,51,72,6,3,-3,2,-2,4,1,0,14,1,0,0,0,99,112,13,2,0,0,-4,-5,3,-1,0
Deportivo v Elche,0,0.5,2,0,78,0,80,37,48,14,49,23,4,-4,3,-3,0,1,0,5,6,0,-1,0,40,81,41,-2,-2,0,-1,-2,-1,-1,1
Deportivo v Espanyol,1,1.0,2,1,20,3,14,11,18,19,13,-4,0,0,2,-2,0,0,0,2,0,0,-2,0,43,13,-30,0,-1,0,2,-2,-6,-4,0
Deportivo v Getafe,2,0.1999999999999993,-4,-2,49,4,48,14,30,-16,28,34,-1,1,7,-7,-2,1,0,-3,-2,0,0,0,-18,55,73,-1,1,0,-7,-7,7,0,-1
Deportivo v Granada,1,0.3999999999999986,3,3,-7,-4,-13,6,-6,43,-55,12,1,-1,-2,2,3,2,0,6,0,0,3,0,25,-9,-34,2,1,0,10,9,-12,-1,1
Deportivo v Levante,0,1.1000000000000014,3,1,101,-5,113,48,64,25,58,29,2,-2,3,-3,3,3,1,9,5,0,1,0,71,113,42,-1,1,0,-1,1,4,2,1
Deportivo v Malaga,2,1.0,1,1,38,7,41,12,33,-9,22,31,-2,2,1,-1,-1,-1,0,1,1,0,1,0,2,42,40,6,-2,0,-5,-2,10,3,-1
Deportivo v Rayo Vallecano,1,0.5,-1,0,-29,0,-29,-35,2,-13,-17,-3,0,0,-7,7,-1,0,-1,-6,-2,0,-2,0,-6,-27,-21,3,2,0,5,4,0,-1,0
Deportivo v Real Madrid,2,2.099999999999998,-6,-4,-103,-11,-108,-56,-50,-48,-53,-5,1,-1,1,-1,-6,-2,-2,2,-2,0,-1,0,-75,-95,-20,6,0,0,-10,-9,4,1,-3
Deportivo v Real Sociedad,1,0.9000000000000021,-8,-1,-4,3,0,-9,-6,-36,25,-4,-3,3,-6,6,-8,-5,0,-6,-4,0,-1,0,-17,-7,10,4,2,0,-6,-8,-2,-2,0
Deportivo v Sevilla,2,-0.1999999999999993,5,3,3,-1,5,-3,4,10,9,-18,1,-1,-2,2,2,0,0,5,2,0,-3,0,35,20,-15,14,-2,0,-5,-4,-4,1,0
Deportivo v Valencia,0,2.700000000000003,4,2,-17,-2,-16,-23,5,-2,-29,13,2,-2,4,-4,6,4,1,-5,2,0,1,0,-12,-5,7,8,-1,0,-6,-5,5,1,0
Deportivo v Villarreal,1,2.900000000000002,0,-2,25,10,44,18,14,14,21,0,0,0,2,-2,3,1,0,10,1,0,-3,0,27,27,0,-3,-2,0,-2,-2,0,0,0
