_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Almeria v Athletic Club,2,-0.6000000000000014,1,0,-69,-8,-57,-40,-28,12,-60,-20,-1,1,6,-6,1,2,0,-1,0,0,3,0,-16,-59,-43,0,1,0,-5,-5,3,0,0
Almeria v Atletico,2,-0.8000000000000007,-5,-3,-167,6,-164,-101,-77,-58,-106,-15,-6,6,4,-4,-3,-4,0,-9,-2,0,-1,0,-98,-154,-56,2,-3,0,-7,-2,11,5,0
Almeria v Barcelona,2,-0.6000000000000014,-2,-1,-185,0,-189,-94,-80,-40,-117,-21,3,-3,-2,2,0,-2,1,-4,-3,0,0,0,-137,-195,-58,6,2,0,-2,-1,2,1,1
Almeria v Celta Vigo,1,1.4000000000000021,2,-1,-113,-17,-95,-53,-47,-24,-40,-38,-1,1,0,0,4,2,0,8,1,0,-2,0,-43,-106,-63,5,0,0,-1,-7,-3,-6,-2
Almeria v Cordoba,1,-0.1999999999999993,-2,-2,-23,7,-20,-18,-3,20,-10,-30,2,-2,2,-2,-4,1,0,10,3,0,1,0,26,-22,-48,2,0,0,8,6,0,-2,0
Almeria v Deportivo,1,-1.1000000000000014,-10,-5,-46,13,-45,-30,-19,-1,-25,-22,-1,1,3,-3,-9,-2,0,-3,-2,0,-3,0,-26,-51,-25,4,-1,0,-7,-7,3,0,0
Almeria v Eibar,0,-3.400000000000002,1,-2,44,-2,48,15,14,-55,48,36,-4,4,1,-1,1,0,0,-15,0,0,0,0,-53,43,96,2,0,0,-9,-8,-1,1,1
Almeria v Elche,1,-1.3000000000000007,1,-1,-6,-3,-8,20,2,34,-5,-9,2,-2,8,-8,3,2,-1,17,3,0,-1,0,59,4,-55,6,-4,0,4,3,2,-1,0
Almeria v Espanyol,1,-0.09999999999999787,8,6,32,-5,46,6,30,-7,32,12,3,-3,0,0,3,1,0,1,2,0,3,0,57,54,-3,6,0,0,-9,-6,8,3,0
Almeria v Getafe,0,-0.8999999999999986,-3,-4,12,8,-2,6,14,25,-12,6,1,-1,-6,6,-1,0,1,7,2,0,-3,0,-8,15,23,5,-1,0,9,6,-1,-3,1
Almeria v Granada,0,-2.0,3,1,105,4,109,60,55,52,43,20,1,-1,-5,5,4,0,1,10,-1,0,-3,0,70,102,32,-1,1,0,-7,-2,12,5,1
Almeria v Levante,2,-2.3999999999999986,-1,2,-24,5,-20,-16,-16,-29,2,-5,1,-1,-5,5,-1,-2,-2,-2,0,0,1,0,-20,-15,5,-4,3,0,0,-3,3,-3,-2
Almeria v Malaga,2,-1.2000000000000028,-2,-3,-34,9,-35,-24,-3,-1,-14,-12,2,-2,3,-3,1,1,1,1,0,0,0,0,-9,-29,-20,-2,0,0,-3,1,5,4,2
Almeria v Rayo Vallecano,2,-0.40000000000000213,3,-1,-16,-6,-10,-28,8,40,-36,-25,-2,2,1,-1,2,2,0,3,-1,0,2,0,69,23,-46,9,0,0,-20,-5,19,15,0
Almeria v Real Madrid,2,0.0,4,2,-126,1,-126,-77,-66,-18,-91,-35,-2,2,-5,5,2,2,-1,-5,-1,0,-4,0,-49,-109,-60,11,1,0,11,8,-2,-3,-1
Almeria v Real Sociedad,1,-0.8000000000000007,1,-1,-56,1,-51,-47,-23,-22,-7,-39,0,0,-3,3,-1,0,0,-9,0,0,0,0,-34,-47,-13,4,-1,0,-8,-6,8,2,1
Almeria v Sevilla,2,-1.0,4,2,-45,7,-36,-10,-16,14,-21,-22,-1,1,1,-1,2,1,0,9,2,0,0,0,9,-46,-55,-3,-1,0,-3,-2,0,1,0
Almeria v Valencia,2,1.5,1,2,-21,4,-25,-19,-14,-29,-3,-2,-2,2,-1,1,-2,-2,-2,-10,-2,0,0,0,-45,-18,27,4,-1,0,2,1,-7,-1,0
Almeria v Villarreal,1,0.7999999999999972,-5,-5,-47,-2,-34,-19,-17,19,-42,-13,2,-2,-2,2,-3,-2,0,12,-1,0,2,0,13,-42,-55,4,-1,1,2,1,-1,-1,0
Athletic Club v Almeria,0,0.40000000000000213,10,6,93,3,91,40,53,14,68,12,2,-2,0,0,4,3,1,2,2,0,-1,0,73,78,5,-4,0,0,3,1,0,-2,2
Athletic Club v Atletico,2,-0.09999999999999787,0,0,7,10,4,-3,20,7,6,2,0,0,-2,2,1,1,1,-4,1,0,-2,0,-16,-1,15,1,0,0,-5,-5,2,0,1
Athletic Club v Barcelona,2,-1.7999999999999972,-4,-1,-200,-17,-199,-101,-93,-3,-136,-56,1,-1,0,0,-3,-3,-1,4,-1,0,-2,0,-80,-200,-120,3,0,0,13,7,-16,-6,-2
